,yoy_avg_revenue,yoy_avg_operating_income,yoy_avg_ebitda,yoy_avg_eps,quick_ratio,receivable_turnover_ratio,asset_turnover_ratio,debt_to_equity_ratio,icr,revenue,operating_income,operating_margin,ebitda,ebitda_margin,roe,cfo_to_earnings,per,shareholder_return,jensen_alpha,jensen_alpha_class,sortino_ratio,sortino_ratio_class,sector
ES큐브,-0.07429332549402648,-7.157671004444238,-1.0382408343520488,-19.312164224664222,8.411816634303367,6.461358316966716,0.3213089607767538,0.5033987114537228,3.3564800793729113,34599562177.0,1066143873.6666666,0.030018574334369996,1499158371.3333333,0.04286543825891667,0.07926406299101028,0.5358236096932992,-22.149121283689915,-0.10867348210558297,0.02888625097164438,1,2.229168590172293,1,staples
ES큐브,-0.07429332549402648,-7.157671004444238,-1.0382408343520488,-19.312164224664222,8.411816634303367,6.461358316966716,0.3213089607767538,0.5033987114537228,3.3564800793729113,34599562177.0,1066143873.6666666,0.030018574334369996,1499158371.3333333,0.04286543825891667,0.07926406299101028,0.5358236096932992,-22.149121283689915,-0.10867348210558297,0.02888625097164438,1,2.229168590172293,1,discretionary
GKL,-0.06370763213326391,-0.15663548232703398,-0.11554536603074546,-0.16519889939262222,3.0006674167462,26.31319597987012,0.6876695246942957,0.3818703582365039,40279.92844168447,509954920262.0,121469971978.66667,0.23675356353741273,120951925349.66667,0.2364055503485892,0.17003667610084636,1.1243680374853597,20.279386256634975,0.5994689724147031,-0.0813876923790774,0,-8.662272085824965,0,comm_services
GKL,-0.06370763213326391,-0.15663548232703398,-0.11554536603074546,-0.16519889939262222,3.0006674167462,26.31319597987012,0.6876695246942957,0.3818703582365039,40279.92844168447,509954920262.0,121469971978.66667,0.23675356353741273,120951925349.66667,0.2364055503485892,0.17003667610084636,1.1243680374853597,20.279386256634975,0.5994689724147031,-0.0813876923790774,0,-8.662272085824965,0,discretionary
강원랜드,0.17663328772045236,0.024934041074461958,-0.02666195336281767,0.013479879434035643,2.8179123801407377,169.35827249127854,0.6107875404364579,0.19947835756499152,1890.1340885435566,2538419432832.3335,526737870867.0,0.23254462780836702,446526561958.6667,0.20076735056652342,0.11585895607578055,1.198315365266257,19.768094807066948,0.0,-0.03255608735656942,0,-3.7583586451933644,0,comm_services
강원랜드,0.17663328772045236,0.024934041074461958,-0.02666195336281767,0.013479879434035643,2.8179123801407377,169.35827249127854,0.6107875404364579,0.19947835756499152,1890.1340885435566,2538419432832.3335,526737870867.0,0.23254462780836702,446526561958.6667,0.20076735056652342,0.11585895607578055,1.198315365266257,19.768094807066948,0.0,-0.03255608735656942,0,-3.7583586451933644,0,discretionary
골드퍼시픽,0.047902479962385155,-2.01979530143008,-5.805629536038313,,1.1482743624594378,7.283656322254925,0.4007900407595701,3.240492001576746,-17.036022886924172,6775940065.0,-2830508048.3333335,-0.2870515171019316,-10254936164.0,-1.2433162584670494,-4.267855795148921,0.667009985142327,,-0.0026613887886751107,0.13813031869639694,1,-4.160107038024573,1,discretionary
골드퍼시픽,0.047902479962385155,-2.01979530143008,-5.805629536038313,,1.1482743624594378,7.283656322254925,0.4007900407595701,3.240492001576746,-17.036022886924172,6775940065.0,-2830508048.3333335,-0.2870515171019316,-10254936164.0,-1.2433162584670494,-4.267855795148921,0.667009985142327,,-0.0026613887886751107,0.13813031869639694,1,-4.160107038024573,1,staples
국동,0.08656770123446511,-0.46703869987960256,-1.7259921709716368,-0.5748906395536121,0.8672467198765998,6.652152154419789,1.7259198580181936,1.4860164917163177,-2.596814251262107,202840588588.33334,3466388114.6666665,0.01629413551995809,-3930278468.6666665,-0.020858072106285815,-0.009558851343691189,-0.15087344521485782,13.143590979897635,0.0,-0.1662580748695516,0,-7.298177183529891,0,staples
국동,0.08656770123446511,-0.46703869987960256,-1.7259921709716368,-0.5748906395536121,0.8672467198765998,6.652152154419789,1.7259198580181936,1.4860164917163177,-2.596814251262107,202840588588.33334,3466388114.6666665,0.01629413551995809,-3930278468.6666665,-0.020858072106285815,-0.009558851343691189,-0.15087344521485782,13.143590979897635,0.0,-0.1662580748695516,0,-7.298177183529891,0,discretionary
모나미,-0.09223010095590328,-1.7145634510944945,0.01299761385845051,-0.22114132227039204,0.8077211011455487,13.231360871840456,1.6509239949973387,1.2410172580169323,5.5253673757734605,277624021520.3333,8203090271.333333,0.02951099023802281,15319237605.666666,0.05520332227946537,0.041462298835983784,5.0295444340640385,91.55054644808743,0.9540175333242585,0.10931578975116754,1,1.5350882684815574,1,staples
모나미,-0.09223010095590328,-1.7145634510944945,0.01299761385845051,-0.22114132227039204,0.8077211011455487,13.231360871840456,1.6509239949973387,1.2410172580169323,5.5253673757734605,277624021520.3333,8203090271.333333,0.02951099023802281,15319237605.666666,0.05520332227946537,0.041462298835983784,5.0295444340640385,91.55054644808743,0.9540175333242585,0.10931578975116754,1,1.5350882684815574,1,discretionary
삼천리자전거,-0.08487060757808837,-17.344002745695356,34.642283215246486,-1.359549856298229,0.48743903340611183,5.658105674555123,0.6815170693440256,0.6591965827368488,-3.0376738924779954,111147526951.0,-3644720753.6666665,-0.05681029644649734,-5366303903.0,-0.07027051483021639,-0.025986933089272204,0.3499437172325279,-6.844014553073416,0.34131287816794326,-0.045622201649835686,0,-4.98647783607567,0,staples
