,logloss,accuracy
fold_0,0.6465175747871399,0.8897637724876404
fold_1,0.39342233538627625,0.9186351895332336
fold_2,0.5998300313949585,0.9028871655464172
fold_3,0.5327975153923035,0.9107611775398254
fold_4,0.36932069063186646,0.9160104990005493
average,0.508377629518509,0.9076115608215332
std,0.11008548407072814,0.010419655436793346
