sector,return_cumsum,weight
IT,0.054674304920556284,0.1988809885816093
Semiconductor,0.012864815744615274,0.08792100700516402
Communication Service,0.005636108088746384,0.11808754773691493
Discretionary,0.02118587821116731,0.09504763086386818
Staples,0.0,0.0
Health Care,-0.002481721021095647,0.14579160744139907
Financials,0.09187551254490309,0.20523564441865036
Industrials,0.08750362734035216,0.11501397731539156
Alternatives,0.054230295504710924,0.034021596637002494
