date,IT,Semiconductor,Communication Service,Discretionary,Staples,Health Care,Financials,Industrials,Alternatives
2020-10-01,0.09755099029004367,0.08955985542774435,0.11429369883546817,0.07117927155424378,0.0,0.0,0.12839761090515162,0.39808134525935845,0.10093722772798988
2020-10-02,0.09661602839963121,0.0885484135292452,0.11409911764763957,0.07071697031866395,0.0,0.0,0.1295180919746904,0.3995129479808947,0.100988430149235
2020-10-05,0.09653952102093638,0.0880462210928838,0.11435332044730946,0.07011378813278608,0.0,0.0,0.1295123618455179,0.39806600277942084,0.1033687846811456
2020-10-06,0.12787228405747056,0.09006580348873416,0.1148196982696219,0.07318131689476161,0.0,0.0,0.13102854400088543,0.4047706095502586,0.058261743738267674
2020-10-07,0.12491434827584834,0.08776567308431538,0.11318418297941167,0.0714402484879306,0.0,0.0,0.12856666845023992,0.40317267523844436,0.07095620348380974
2020-10-08,0.12395312809197011,0.10210514064433406,0.13054438707788948,0.07159168300591531,0.0,0.0,0.0954951398657382,0.40382230473070385,0.07248821658344891
2020-10-09,0.12332382021458975,0.10338315987208882,0.1323812189424382,0.07040509326114552,0.0,0.0,0.09622040686928228,0.40081726053355365,0.0734690403069017
2020-10-12,0.15426259879464618,0.10165270431655415,0.127903513958513,0.06833992319208358,0.0,0.0,0.09457870483202845,0.38239619833587873,0.07086635657029591
2020-10-13,0.1525617283320296,0.10214841211896242,0.12879074216517433,0.06346623020908976,0.0,0.0,0.09386707679831016,0.38860814660139836,0.07055766377503545
2020-10-14,0.14638102635571054,0.09905678307031152,0.12375314401826265,0.09576296124677955,0.0,0.0,0.09202276881936461,0.3735467390415099,0.06947657744806114
2020-10-15,0.1466857250536276,0.09903306659383448,0.12455928698203618,0.0958294767745468,0.0,0.0,0.09257025268844657,0.3725709461587853,0.06875124574872313
2020-10-16,0.14456359662742851,0.09842330544735428,0.12269756588416934,0.09569223412317086,0.0,0.0,0.09289717379656105,0.3779902959541825,0.06773582816713353
2020-10-19,0.14154225175635554,0.09758714335067047,0.12116906285035574,0.09630249476292134,0.0,0.0,0.09239054134870042,0.38322934385384955,0.06777916207714689
2020-10-20,0.13949910925849324,0.09838358402500691,0.12223000581168458,0.09621149703992607,0.0,0.0,0.09411792252256729,0.3818393854805143,0.06771849586180761
2020-10-21,0.14151795158959804,0.09917126822379987,0.12544741301632195,0.09827606654893661,0.0,0.0,0.09549230924160935,0.36976949065254267,0.07032550072719156
2020-10-22,0.13980039820240686,0.09950947489179729,0.12317859996060657,0.09976912016719694,0.0,0.0,0.09651764093606205,0.37120875829602157,0.07001600754590877
2020-10-23,0.14021188022611875,0.1002072602213276,0.12455635573892226,0.10182618021270376,0.0,0.0,0.0973133561530432,0.36546176119455,0.07042320625333442
2020-10-26,0.14037759226111718,0.10287533633097402,0.12481345443989904,0.1023390674215766,0.0,0.0,0.09811630728090773,0.35978941219864224,0.07168883006688312
2020-10-27,0.1421200266786156,0.10471706751134202,0.12627279548951406,0.10113483910974311,0.0,0.0,0.09794544120250623,0.35552923812762305,0.07228059188065586
2020-10-28,0.14530428491222935,0.10580154561835595,0.12451910033830553,0.10326340928744551,0.0,0.0,0.09839518078493033,0.35193993262451934,0.070776546434214
2020-10-29,0.1439127017387236,0.1041774356122038,0.12741289591441854,0.10280112710287705,0.0,0.0,0.09757180112609093,0.35240076847199453,0.07172327003369167
2020-10-30,0.14389999513119123,0.10415615410687278,0.12968497323309772,0.10232227292550258,0.0,0.0,0.09945015985660931,0.34869331639684537,0.07179312834988102
2020-11-02,0.1445094397669019,0.10351683009403687,0.12782403771221568,0.10242436823316024,0.0,0.0,0.10022675051466157,0.3500060318490592,0.07149254182996448
2020-11-03,0.1435609186303931,0.10272178512645293,0.1285647931472618,0.09928781475479895,0.0,0.0,0.10064096802780094,0.3537606465883513,0.07146307372494096
2020-11-04,0.14358290199531773,0.10393710873511379,0.12781718044363874,0.1036871075925025,0.0,0.0,0.10142162997941692,0.3492935104484304,0.07026056080557985
2020-11-05,0.14278599078686433,0.10289323763330101,0.1271760420686303,0.10586670533120332,0.0,0.0,0.09945153610090925,0.3508659430400133,0.07096054503907848
2020-11-06,0.14700970903439542,0.1070615536057282,0.13068482964641653,0.10825650010706407,0.0,0.0,0.10224497844047838,0.3290100589011809,0.07573237026473639
2020-11-09,0.20518401820886412,0.09483858097618757,0.12423245767987855,0.10824126289165778,0.0,0.0,0.09622163371297561,0.3046049749070583,0.06667707162337816
2020-11-10,0.2010699545019833,0.09341530735450984,0.12410169993250926,0.10609563660350227,0.0,0.0,0.09547352310690423,0.3140850370139866,0.06575884148660444
2020-11-11,0.20207860811850528,0.09546715362121663,0.12116433886682947,0.10366476782560721,0.0,0.0,0.0951273560127948,0.3164921207424045,0.06600565481264208
2020-11-12,0.2018259374124857,0.09722686412288539,0.12248374709366952,0.1005746758614534,0.0,0.0,0.09579824484571052,0.3170506926352724,0.06503983802852312
2020-11-13,0.1981870566449042,0.09556807702548029,0.12229825059001229,0.10046549569885257,0.0,0.0,0.09549163861037996,0.32333730684372064,0.06465217458664997
2020-11-16,0.1901892251382,0.0974477893697454,0.1258147384749845,0.09989562182878918,0.0,0.0,0.09725059775336299,0.32281370982151386,0.06658831761340411
2020-11-17,0.18697849072506054,0.09511113409767478,0.12385642738212256,0.09930121752509312,0.0,0.0,0.09607550058370633,0.33066629445965146,0.06801093522669122
2020-11-18,0.18647089759297625,0.09466589423827317,0.12389930587580822,0.09603414092865421,0.0,0.0,0.09576723548713922,0.3356828568416472,0.06747966903550162
