target_shift1,date,close,close_mv10,close_mv20,close_mv5,dayofmonth_freq_cos,dayofmonth_freq_sin,fast_d,fast_k,fore,fore_mv10,fore_mv20,fore_mv5,inst,inst_mv10,inst_mv20,inst_mv5,kospi,kospi_mv10,kospi_mv20,kospi_mv5,mfi,mfi_signal,obv,obv_ema,trading_amount,trading_amount_mv10,trading_amount_mv20,trading_amount_mv5,volume,volume_mv10,volume_mv20,volume_mv5,weekday,weeknum
292500.0,2021-01-04,293000.0,286650.0,286075.0,290700.0,-0.7266603220339333,0.6869969260350008,77.08409687434619,92.85714285714286,46828.0,137162.1,66959.25,278966.8,-154478.0,13957.0,-549.55,-11704.4,2944.0,2830.1,2794.25,2876.8,67.79982348625774,buy,454122.0,-789113.016107491,277523154000.0,222924381050.0,189647687850.0,293051713300.0,947178.0,772640.1,660102.9,1004849.8,0,1
290000.0,2021-01-05,292500.0,287500.0,286450.0,292600.0,-0.8613126282322195,0.5080753452468506,81.1723088560267,89.28571428571429,3741.0,125969.0,70145.95,270712.4,-104868.0,-6235.6,-6339.95,1260.8,2991.0,2855.8,2808.75,2910.8,63.52490063680725,buy,-458535.0,-762295.4652096282,266952172500.0,228316900300.0,194915817225.0,317797453800.0,912657.0,788896.3,677386.7,1086163.2,1,1
289500.0,2021-01-06,290000.0,288100.0,286550.0,292100.0,-0.9527751227229875,0.3036767451093285,70.33792211714962,48.78048780487805,35671.0,134712.5,70433.15,190980.4,-91787.0,-16315.3,-8831.15,-34806.6,2968.0,2876.6,2819.4,2929.8,55.452225833306535,buy,-1834391.0,-848027.9048989447,398998240000.0,253788984700.0,207186151625.0,327962972300.0,1375856.0,875680.0,719514.3,1123269.0,2,1
312000.0,2021-01-07,289500.0,288850.0,286725.0,291500.0,-0.9964614941176245,0.08405052492918362,62.32079416918043,46.34146341463415,-143431.0,125896.2,62694.9,75428.0,-98353.0,-27412.7,-14427.95,-72187.2,3032.0,2899.1,2833.7,2961.6,63.930322374885584,buy,-2990125.0,-1017076.8993396624,334584993000.0,274470205000.0,210195595175.0,325245841400.0,1155734.0,945943.9,729329.65,1116350.4,3,1
309000.0,2021-01-08,312000.0,291850.0,287825.0,295400.0,-0.9901811253364696,-0.13979033953532904,74.8996800305239,100.0,581827.0,189605.7,90678.7,104927.2,155626.0,-13112.2,-10074.55,-58772.0,3152.0,2933.6,2852.8,3017.4,59.958445788682766,buy,185271.0,-923338.9526631738,990723552000.0,360765281200.0,252429746775.0,453756422300.0,3175396.0,1218174.0,862920.05,1513364.2,4,2
304000.0,2021-01-11,309000.0,294650.0,288975.0,298600.0,-0.6869969260348808,-0.7266603220340467,72.15255402168135,66.66666666666666,77556.0,195019.8,96000.0,111072.8,-309312.0,-50721.6,-21658.55,-89738.8,3148.0,2967.5,2872.1,3058.2,67.53201859580275,buy,-2579898.0,-1051045.7536827985,854437221000.0,431095474500.0,287211218225.0,569139235700.0,2765169.0,1440906.1,973414.9,1876962.4,0,2
314000.0,2021-01-12,304000.0,296750.0,290025.0,300900.0,-0.5080753452467083,-0.8613126282323035,66.4886748745551,55.172413793103445,-40158.0,186502.7,96009.3,102293.0,-174926.0,-51244.8,-27626.65,-103750.4,3126.0,2998.0,2890.55,3085.2,57.23307782006178,buy,-4153197.0,-1287728.1816367942,478282896000.0,464601417100.0,304163633775.0,611405380400.0,1573299.0,1547627.0,1027480.1,2009090.8,1,2
318000.0,2021-01-13,314000.0,298900.0,291450.0,305700.0,-0.30367674510917114,-0.9527751227230377,70.38117897776016,78.16091954022988,254702.0,168539.8,106152.8,146099.2,125739.0,-47525.9,-20474.1,-60245.2,3148.0,3025.5,2909.35,3121.2,53.29394607681005,buy,-2258893.0,-1361117.6822142329,594811456000.0,489265497950.0,328452641175.0,650568023600.0,1894304.0,1618024.7,1103100.5,2112780.4,2,2
306000.0,2021-01-14,318000.0,301450.0,293100.0,311400.0,-0.08405052492901906,-0.9964614941176384,74.45824395951938,82.6086956521739,17920.0,126898.7,107342.0,178369.4,991.0,-56281.8,-18437.45,-40376.4,3150.0,3053.2,2928.35,3144.8,57.22375272024872,buy,-710308.0,-1312370.8867539081,492450030000.0,503693436200.0,345631740675.0,682141031000.0,1548585.0,1653850.5,1154412.55,2191350.6,3,2
300500.0,2021-01-15,306000.0,302800.0,294275.0,310200.0,0.13979033953549258,-0.9901811253364465,68.31891713998051,56.043956043956044,-38644.0,79601.2,106825.25,54275.2,-156320.0,-80768.8,-24679.1,-102765.6,3086.0,3074.5,2944.05,3131.6,51.275013272365264,buy,-1817118.0,-1349868.540684107,338683860000.0,502744757450.0,355682750550.0,551733092600.0,1106810.0,1645498.8,1185387.8,1777633.4,4,3
